product_id,listing_price,discount
2801,18275,15
3633,5949,15
2825,19125,15
2824,18699,15
2822,21271,15
2823,5780,15
2819,15300,15
2818,34128,15
2821,6883,15
2855,71910,15
2853,34425,15
2829,32321,15
2820,39100,15
1791,44198,15
2828,19550,15
2785,15300,15
2784,21249,15
2676,23800,15
2978,11263,15
2976,24225,15
2971,4420,15
2967,10710,15
2964,28900,15
3080,51000,15
4277,102000,15
3077,22738,15
