product_id,category
3684,29
3687,24
3688,24
3689,24
3692,27
3693,11
3694,11
3695,30
3696,30
3697,11
3704,31
3708,31
3710,15
3712,15
3715,24
3686,33
3690,14
3698,14
3699,24
3707,33
3711,33
3713,32
