product_id,discount,original_price
4780,15,17847.18
4782,15,14182.74
4781,15,22325.94
4778,15,5496.66
4775,15,7939.62
4776,15,13979.16
4777,15,10179
4773,15,14250.6
4772,15,13979.16
4771,15,6786
4769,15,9025.38
4767,15,12146.94
4766,15,5360.94
2801,15,34000
3633,15,14500
2825,15,45000
2824,15,65000
2822,15,45500
2823,15,11000
2819,15,67400
2818,15,73000
2821,15,22500
2855,15,169504
2853,15,88000
2829,15,58500
2820,15,92000
1791,15,130000
2828,15,40000
2785,15,50000
2784,15,50000
2676,15,45000
2978,15,26500
2976,15,75000
2971,15,8000
2967,15,18000
2964,15,54000
3080,15,200000
4277,15,215000
3077,15,53500
4730,48,24999
4729,60,60499
4728,59,54499
4694,48,39499
4693,39,28499
4685,29,20999
4684,26,13499
4682,38,19999
4669,39,20499
4668,39,20499
4667,39,20499
4626,49,19499
4532,58,32999
4531,58,32999
4508,38,18499
4507,38,18499
4505,38,18499
4467,49,48999
5340,70,166999
5334,70,116499
5333,59,66499
5332,59,76499
5331,59,99499
5330,60,107499
5329,59,77499
5322,50,80499
5319,38,27999
5318,50,80499
5306,50,66499
5302,50,66499
5301,38,33999
5300,48,40499
5299,48,40499
5298,49,120499
5249,59,136499
5248,60,121499
5247,59,150499
5246,59,120499
5245,38,23499
5176,58,30999
5174,29,10499
5173,27,7499
5149,39,26999
5098,47,15999
5097,46,19499
3557,15,33000
5096,39,17999
5095,26,13499
3943,56,47999
4215,67,60999
3942,56,38499
3941,56,47499
3940,57,68999
3922,34,20499
3921,34,18499
4249,46,100499
4248,46,72499
3821,33,14059
3895,33,16499
3905,34,13999
3904,44,13999
3903,45,22499
4086,24,25999
3631,15,38200
3625,15,17200
4216,66,53499
3624,15,15300
3622,15,13370
3618,15,26750
4210,55,27999
3632,15,14500
3623,15,14330
3614,15,14330
4005,25,25999
3628,15,32490
3619,15,30580
3629,15,19000
3630,15,42000
3626,15,15300
1857,15,32400
2970,15,19000
2968,15,17500
2787,15,10500
2924,15,20000
3335,15,26500
3334,15,30000
3332,15,34500
3330,15,38000
3329,15,115000
3340,15,120000
3471,15,45000
3563,15,19000
3562,15,48500
3560,15,70000
3559,15,30000
3589,15,120000
3592,15,32000
3804,15,115000
4280,15,207000
4426,15,76500
4424,15,23000
4424,15,23000
4425,15,99500
4279,15,315000
4278,15,82000
4765,15,245000
